"country","c02_2005","c02_2006","c02_2007","c02_2008","c02_2009","c02_2010","c02_2011","c02_2012","c02_2013","c02_2014","total_c02","gdp_2005","gdp_2006","gdp_2007","gdp_2008","gdp_2009","gdp_2010","gdp_2011","gdp_2012","gdp_2013","gdp_2014","total_gdp"
"Croatia","5.241676788","5.24384626","5.528298459","5.242211938","4.916384236","4.696195978","4.627629816","4.21645564","4.123953137","3.973804906","96.40153983","45347181470","50404444703","60121906684","70494603466","62779128128","59865977192","62399478246","56548374545","58157880646","57682343708","8.50631E+11"
"Barbados","4.896888786","4.942600648","4.89459634","5.789738021","5.752842364","5.237995825","5.403566242","5.18317589","5.094918676","4.467476521","95.53902659","3897300000","4176500000","4672250000","4782000000","4479950000","4529900000","4660900000","4656350000","4612500000","4608350000","76533925488"
"China","4.523178064","4.980314197","5.334909929","5.701915025","6.010102433","6.560520007","7.241515419","7.424750916","7.557211045","7.543907641","95.19847742","2.29E+12","2.75E+12","3.55E+12","4.59E+12","5.10E+12","6.09E+12","7.55E+12","8.53E+12","9.57E+12","1.04E+13","7.3305E+13"
"Romania","4.524305495","4.876469678","4.895132266","4.692067363","4.005210952","3.922213561","4.212926221","4.074315455","3.550167079","3.516153691","94.11719747","98452791983","1.22E+11","1.75E+11","2.14E+11","1.74E+11","1.66E+11","1.83E+11","1.71E+11","1.91E+11","2.00E+11","2.16861E+12"
"Uzbekistan","4.480783353","4.541206044","4.473745459","4.538017932","3.858171993","3.647048882","3.874800916","3.889733195","3.417442433","3.420722746","93.4730618","14307509839","17330833853","22311393928","29549438884","33689223673","39332770929","45915191189","51821573338","57690770140","76658542757","5.32632E+11"
"Turks and Caicos Islands","4.294215756","4.865877309","5.430804673","5.758701365","5.626698816","5.838456828","5.713035923","5.812775201","5.701477067","5.805988295","92.33917571","578645760","721891470","773489740","862683630","703175750","686787810","728789570","715722770","740776770","823968140","8956736570"
"Senegal","0.524087845","0.415596435","0.443350349","0.424289035","0.371602658","0.610870294","0.642029816","0.590463462","0.611148042","0.624760004","9.880217608","11022821632","11847848225","14285970085","16949789465","16248212852","16215069256","17878780185","17825417949","18960182371","19770840286","2.35001E+11"
"Sao Tome and Principe","0.48902027","0.521650658","0.507161756","0.492876344","0.521247925","0.548918618","0.556437103","0.603368294","0.591799549","0.580793656","9.540820686","136450661.3","142775106.8","149146923.1","188021168.8","187821029","197454052.1","233213521.7","252560556","302925488.1","348941656.4","2517100418"
"Congo, Rep.","0.271271608","0.298636286","0.313142347","0.326342657","0.421068121","0.463337538","0.513982294","0.65856754","0.66791556","0.653359719","9.23630506","6087003176","7731261311","8394688284","11859013281","9593537551","12007880439","14425607180","13677930124","14085851348","14177437982","1.42271E+11"
"Vanuatu","0.280349003","0.222377198","0.451123606","0.424300413","0.525570366","0.512300443","0.544036134","0.455621065","0.414374501","0.583633966","9.145236477","394962552.3","439376794.1","526428309.9","607958616.1","610066628.7","700804286.2","792149700.7","781702874.1","801787555.9","814954307","9426727784"
